,Parameter name,Order,Dependency,Relation,Explanation,Comments,Favorite,Value,Expression,Previous parameter name
,LD_bottom_hinge_hole_1_y_value,127,Derived,Helper,Distance between top of the left door and the center of the door hinge hole,"127) Derived - Helper
    Distance between top of the left door and the center of the door hinge hole",No,94.280,=LD_mid_bottom_hinge_hole_1_y_value+LD_inter_hinge_gap+LD_mid_top_hinge_offset,
,LD_bottom_hinge_hole_2_y_value,128,Derived,Helper,Distance between top of the left door and the center of the door hinge hole,"128) Derived - Helper
    Distance between top of the left door and the center of the door hinge hole",No,95.780,=LD_bottom_hinge_hole_1_y_value+hinge_hole_space,
,,,,,,,,,,
Stile drill hole coordinates - LEFT side,,,,,,,,,,
,LD_stile_top_hinge_hole_1_y_value,131,Derived,Model,Distance between top of stile and center of stile's left side hinge hole,"131) Derived - Model
    Distance between top of stile and center of stile's left side hinge hole",No,5.220,=LD_top_hinge_hole_1_y_value+LD_stile_hole_modifier,
,LD_stile_top_hinge_hole_2_y_value,132,Derived,Model,Distance between top of stile and center of stile's left side hinge hole,"132) Derived - Model
    Distance between top of stile and center of stile's left side hinge hole",No,6.720,=LD_stile_top_hinge_hole_1_y_value+hinge_hole_space,
,LD_stile_mid_top_hinge_hole_1_y_value,133,Derived,Model,Distance between top of stile and center of stile's left side hinge hole,"133) Derived - Model
    Distance between top of stile and center of stile's left side hinge hole",No,35.625,=LD_mid_top_hinge_hole_1_y_value+LD_stile_hole_modifier+stile_mid_top_hinge_offset,
,LD_stile_mid_top_hinge_hole_2_y_value,134,Derived,Model,Distance between top of stile and center of stile's left side hinge hole,"134) Derived - Model
    Distance between top of stile and center of stile's left side hinge hole",No,37.125,=LD_stile_mid_top_hinge_hole_1_y_value+hinge_hole_space,
,LD_stile_mid_bottom_hinge_hole_1_y_value,135,Derived,Model,Distance between top of stile and center of stile's left side hinge hole,"135) Derived - Model
    Distance between top of stile and center of stile's left side hinge hole",No,66.000,=LD_mid_bottom_hinge_hole_1_y_value+LD_stile_hole_modifier+stile_mid_bottom_hinge_offset,
,LD_stile_mid_bottom_hinge_hole_2_y_value,136,Derived,Model,Distance between top of stile and center of stile's left side hinge hole,"136) Derived - Model
    Distance between top of stile and center of stile's left side hinge hole",No,67.500,=LD_stile_mid_bottom_hinge_hole_1_y_value+hinge_hole_space,
,LD_stile_bottom_hinge_hole_1_y_value,137,Derived,Model,Distance between top of stile and center of stile's left side hinge hole,"137) Derived - Model
    Distance between top of stile and center of stile's left side hinge hole",No,96.030,=LD_bottom_hinge_hole_1_y_value+LD_stile_hole_modifier+stile_bottom_hinge_offset,
,LD_stile_bottom_hinge_hole_2_y_value,138,Derived,Model,Distance between top of stile and center of stile's left side hinge hole,"138) Derived - Model
    Distance between top of stile and center of stile's left side hinge hole",No,97.530,=LD_stile_bottom_hinge_hole_1_y_value+hinge_hole_space,
,,,,,,,,,,
,LD_stile_top_hinge_hole_1_y_value_from_bottom,139,Derived,Model,Distance between bottom of stile blank and center of stile's left side hinge hole,"139) Derived - Model
    Distance between bottom of stile blank and center of stile's left side hinge hole",No,100.905,= ( component_height - leveling_bar_additional_height ) - LD_stile_top_hinge_hole_1_y_value,
,LD_stile_top_hinge_hole_2_y_value_from_bottom,140,Derived,Model,Distance between bottom of stile blank and center of stile's left side hinge hole,"140) Derived - Model
    Distance between bottom of stile blank and center of stile's left side hinge hole",No,99.405,= ( component_height - leveling_bar_additional_height ) - LD_stile_top_hinge_hole_2_y_value,
,LD_stile_mid_top_hinge_hole_1_y_value_from_bottom,141,Derived,Model,Distance between bottom of stile blank and center of stile's left side hinge hole,"141) Derived - Model
    Distance between bottom of stile blank and center of stile's left side hinge hole",No,70.500,= ( component_height - leveling_bar_additional_height ) - LD_stile_mid_top_hinge_hole_1_y_value,
,LD_stile_mid_top_hinge_hole_2_y_value_from_bottom,142,Derived,Model,Distance between bottom of stile blank and center of stile's left side hinge hole,"142) Derived - Model
    Distance between bottom of stile blank and center of stile's left side hinge hole",No,69.000,= ( component_height - leveling_bar_additional_height ) - LD_stile_mid_top_hinge_hole_2_y_value,
,LD_stile_mid_bottom_hinge_hole_1_y_value_from_bottom,143,Derived,Model,Distance between bottom of stile blank and center of stile's left side hinge hole,"143) Derived - Model
    Distance between bottom of stile blank and center of stile's left side hinge hole",No,40.125,= ( component_height - leveling_bar_additional_height ) - LD_stile_mid_bottom_hinge_hole_1_y_value,
,LD_stile_mid_bottom_hinge_hole_2_y_value_from_bottom,144,Derived,Model,Distance between bottom of stile blank and center of stile's left side hinge hole,"144) Derived - Model
    Distance between bottom of stile blank and center of stile's left side hinge hole",No,38.625,= ( component_height - leveling_bar_additional_height ) - LD_stile_mid_bottom_hinge_hole_2_y_value,
,LD_stile_bottom_hinge_hole_1_y_value_from_bottom,145,Derived,Model,Distance between bottom of stile blank and center of stile's left side hinge hole,"145) Derived - Model
    Distance between bottom of stile blank and center of stile's left side hinge hole",No,10.095,= ( component_height - leveling_bar_additional_height ) - LD_stile_bottom_hinge_hole_1_y_value,
,LD_stile_bottom_hinge_hole_2_y_value_from_bottom,146,Derived,Model,Distance between bottom of stile blank and center of stile's left side hinge hole,"146) Derived - Model
    Distance between bottom of stile blank and center of stile's left side hinge hole",No,8.595,= ( component_height - leveling_bar_additional_height ) - LD_stile_bottom_hinge_hole_2_y_value,
,,,,,,,,,,
Routing coordinates - LEFT side,,,,,,,,,,
,,,,,,,,,,
STILE RIGHT SIDE,,,,,,,,,,
