Type,Parameter Name,Value,Unit,Expression,Comment
Model,d206,0.0,deg,0.00 deg,
Model,d218,0.75,in,component_thickness,
Model,d219,0.0,deg,0.00 deg,
Model,d212,0.75,in,if(bottom_left_notching; component_thickness; 0 in),
Model,d213,0.75,in,component_thickness,
Model,d214,0.0,deg,0.00 deg,
Model,d215,0.75,in,if(bottom_right_notching; component_thickness; 0 in),
Model,d216,0.75,in,component_thickness,
Model,d217,0.0,deg,0.00 deg,
Model,d220,0.75,in,component_thickness,
Model,d221,0.0,deg,0.00 deg,
